Name,description,sub_catagory,Veg_Non,Review,Cusine,Diet,Price
Mini Victoria Sponge Cake Recipe,Butter (unsalted)|Sugar|Whole Eggs|All Purpose Flour (Maida)|Icing Sugar|Strawberry jam|Hung Curd (Greek Yogurt),Cake,non-veg,4.907849829,British,Eggetarian,362
Osmania Biscuits Recipe,Butter (Unsalted)|Vivatta Maida|Milk Powder|Soy flour|Salt|Sugar|Baking powder|Milk,Cookies,veg,4.861114081,Andhra,Vegetarian,484
chocolate chip cheesecake,"butter biscuits (broken into pieces), butter (softened), cream cheese (softened), sugar, egg, rose essence or vanilla essence, chocolate chips",,veg,,,,419
baked wild berry cheesecake,"butter, digestive biscuits, berries, cream cheese, castor sugar, vanilla extract, egg (lightly beaten), icing sugar",,veg,,,,437
seared salmon in tabasco butter,"butter, tabasco, chives, salt, salmon fillet, olive oil, sea salt",,non-veg,,,,247
Vendakkai-Vazhakkai Mor Kuzhambu Recipe (Tamil Nadu Style Lady's Finger & Raw Banana Curry),Buttermilk|Bhindi (Lady Finger/Okra)|Raw Banana|Turmeric powder (Haldi)|Broken Raw Rice|Arhar dal (Split Toor Dal)|Coriander (Dhania) Seeds|Ginger|Green Chillies|Fresh coconut|Mustard seeds|Dry Red Chillies|Asafoetida (hing)|Curry leaves|Sunflower Oil,Indian Curry,veg,4.968801314,Tamil Nadu,Vegetarian,420
Karnataka Style Majjige Huli Recipe - Tasty Buttermilk Rasam,Buttermilk|Onion|Dry Red Chillies|Ginger|Garlic|Coriander Powder (Dhania)|Black pepper powder|Fresh coconut|Salt|Oil|Mustard seeds (Rai/ Kadugu)|Cumin seeds (Jeera)|Curry leaves,Indian Curry,veg,4.899111343,Karnataka,Vegetarian,287
Poha Buttermilk Idli Recipe,Buttermilk|Poha (Flattened rice)|Sooji (Semolina/ Rava)|Rice flour|Coriander (Dhania) Leaves|Green Chillies|Ginger|Garlic|Curry leaves|Mustard seeds (Rai/ Kadugu)|Salt|Oil,Indian Breakfast,veg,4.93718593,South Indian Recipes,Vegetarian,445
Maharashtrian Tandulachi Ukad Recipe - Rice Flour And Buttermilk Porridge,Buttermilk|Rice flour|Salt|Mustard seeds|Green Chilli|Ginger|Curry leaves|Asafoetida (hing),Indian Curry,veg,4.95129376,Maharashtrian Recipes,Vegetarian,481
Butternut Squash Gratin Recipe,Butternut squash|Extra Virgin Olive Oil|Whole Wheat Bread crumbs|Coriander (Dhania) Leaves|Cheddar cheese|Gouda cheese|Black pepper powder|Rosemary|Salt,Continental Food,veg,4.974358974,French,Vegetarian,308
Butternut Squash And Carrot Soup Recipe,Butternut squash|Onion|Carrots (Gajjar)|Celery|Coriander (Dhania) Leaves|Basil leaves|Lemon juice|Extra Virgin Olive Oil|Butter (Salted)|Salt|Whole Black Peppercorns|Fresh cream,Soup,veg,4.962365591,Continental,Vegetarian,502
Curried Butternut Squash Soup Recipe,Butternut squash|Onion|Ginger|Garlic|Red Chilli powder|Coriander Powder (Dhania)|Cumin powder (Jeera)|Salt|Milk|Water|Extra Virgin Olive Oil|Extra Virgin Olive Oil|Pumpkin seeds|Whole Black Peppercorns|Coriander (Dhania) Leaves,Soup,veg,4.87076537,Continental,Vegetarian,516
Dhingri Dolma Recipe -Awadhi Style Mushroom Paneer Masala,Button mushrooms|Ajwain (Carom seeds)|Onion|Tomatoes|Cumin powder (Jeera)|Coriander Powder (Dhania)|Turmeric powder (Haldi)|Red Chilli powder|Cashew nuts|Salt|Sugar|Coriander (Dhania) Leaves,Sabzi,veg,4.853838065,Awadhi,High Protein Vegetarian,340
Baked Vegetables In Casserole Recipe,Button mushrooms|Baby corn|Cauliflower (gobi)|Carrot (Gajjar)|Green beans (French Beans)|Red Bell pepper (Capsicum)|Yellow Bell Pepper (Capsicum)|Extra Virgin Olive Oil|Whole Wheat Flour|Milk|Lukewarm Water|Cheese|Salt and Pepper|Dried oregano,Continental Food,veg,4.903869407,Continental,Vegetarian,595
Mushroom And Bok Choy Stir Fry Recipe,Button mushrooms|Bok Choy|Garlic|Ginger|Fresh Red chillies|Salt|White vinegar|Honey|Paprika powder|Sesame (Gingelly) Oil|Sesame seeds (Til seeds),Indian Chinese,veg,4.861160981,Asian,Vegetarian,464
Bavarian Mushroom Sauce Recipe,Button mushrooms|Butter (Salted)|Mint Leaves (Pudina)|Parsley leaves|All Purpose Flour (Maida)|Milk|Fresh cream|Black pepper powder|Salt,"Homemade Jams, Sauce & Pesto",,4.928940568,,,487
Mushrooms Stuffed With Carrots And Mint Mayo Recipe,Button mushrooms|Carrot (Gajjar)|Onions|Garlic|Roasted Peanuts (Moongphali)|Whole Black Peppercorns|Extra Virgin Olive Oil|Salt,Continental Party Appetizer & Starter,,4.833333333,Continental,,243
Roasted Carrots & Mushroom Pasta In White Sauce Recipe,Button mushrooms|Carrots (Gajjar)|Extra Virgin Olive Oil|All Purpose Flour (Maida)|Milk|Fresh cream|Mozzarella cheese|Italian seasoning|Dried oregano|Salt and Pepper,Italian,veg,4.918577075,Italian Recipes,Vegetarian,327
Pesto Pizza With Mushroom And Bell Pepper Recipe,Button mushrooms|Cheddar cheese|Red Bell pepper (Capsicum)|Walnuts|Basil leaves|Garlic|Salt|Whole Black Peppercorns|Extra Virgin Olive Oil|Parmesan cheese,Italian,veg,4.942857143,Italian Recipes,Vegetarian,359
Bread Tartlets Recipe filled with Roasted Mushrooms and Cheese,Button mushrooms|Cheddar cheese|Salt and Pepper|Baby corn|Whole Eggs|Extra Virgin Olive Oil,Continental Party Appetizer & Starter,non-veg,4.873150106,Italian Recipes,Eggetarian,470
Roasted Mushroom Recipe,Button mushrooms|Cherry tomatoes|Coriander (Dhania) Leaves|Rosemary|Dried oregano|Red Chilli flakes|Salt|Black pepper powder|Extra Virgin Olive Oil,Continental Party Appetizer & Starter,veg,4.902053712,Continental,No Onion No Garlic (Sattvic),408
Chicken with Creamy Mushroom Sauce Recipe,Button mushrooms|Chicken breasts|Mixed Herbs (Dried)|Whole Black Pepper Corns|Red Chilli powder|Onion|Garlic|Extra Virgin Olive Oil|Parsley leaves|Fresh cream|Cheese spread|Salt,Continental Food,non-veg,4.918594687,Continental,High Protein Non Vegetarian,412
Mushroom Caldine Recipe | Vegetarian Goan Mushroom Curry,Button mushrooms|Coconut milk|Onion|Green Chillies|Garlic|Ginger|Salt|Oil|Fresh coconut|Tamarind|Cumin seeds (Jeera)|Coriander (Dhania) Seeds|Dry Red Chillies|Turmeric powder (Haldi)|Water,Indian Curry,veg,4.939947781,Goan Recipes,Vegetarian,504
Mushroom 65 Recipe (Indian Style Spicy Mushrooms with Chillies),Button mushrooms|Corn flour|All Purpose Flour (Maida)|Black pepper powder|Tandoori masala|Ginger|Garlic|Curry leaves|Green Chillies|Coriander (Dhania) Leaves|Salt|Sunflower Oil,Indian Snack,veg,4.870313695,Chinese,Vegetarian,346
Kadai Mushroom Recipe,Button mushrooms|Cumin seeds (Jeera)|Onion|Garlic|Ginger|Green Bell Pepper (Capsicum)|Red Bell pepper (Capsicum)|Carrot (Gajjar)|Tomato|Brown cardamom (Badi Elaichi)|Kasuri Methi (Dried Fenugreek Leaves)|Turmeric powder (Haldi)|Red Chilli powder|Coriander Powder (Dhania)|Salt|Honey,Sabzi,veg,4.869263783,Indian,Vegetarian,317
Cheesy Kulcha Sandwich Recipe With Ghee Roast Mushrooms,Button mushrooms|Dry Red Chillies|Whole Black Peppercorns|Cloves (Laung)|Methi Seeds (Fenugreek Seeds)|Coriander (Dhania) Seeds|Cumin seeds (Jeera)|Garlic|Curry leaves|Jaggery|Salt|Whole Wheat Flour|All Purpose Flour (Maida)|Green Chilli|Garlic|Salt|Sugar|Coriander (Dhania) Leaves|Water|Britannia Cheese Block,Indian Snack,veg,4.930297398,Fusion,Vegetarian,216
Grilled Stuffed Mushrooms Recipe With Onion Parmesan & Herbs,Button mushrooms|Extra Virgin Olive Oil|Black pepper powder|Cheddar cheese|Onion|Garlic|Coriander (Dhania) Leaves|Salt|Extra Virgin Olive Oil,Continental Party Appetizer & Starter,veg,4.857580398,Continental,Vegetarian,486
Spicy Baked Beans With Potato Cakes Recipe,Button mushrooms|Extra Virgin Olive Oil|Fresh Red chillies|Brown Sugar (Demerara Sugar)|Black pepper powder|Parsley leaves|Fresh oregano|Garlic|Onion|Vinegar|Salt|Green beans (French Beans)|Potatoes (Aloo)|All Purpose Flour (Maida),Continental Breakfast,,4.792846498,,,402
Four Cheese and Spinach Stuffed Mushrooms Recipe,Button mushrooms|Extra Virgin Olive Oil|Onions|Garlic|Spinach Leaves (Palak)|White pepper powder|Parsley leaves|Basil leaves|Black pepper powder|Salt|Garlic powder|Parmesan cheese|Mascarpone Cheese|Britannia Cream Cheese|Mozzarella cheese,Continental Party Appetizer & Starter,veg,4.888888889,Continental,Vegetarian,495
Spinach Salad Recipe With Boiled Eggs And Mushrooms,Button mushrooms|Extra Virgin Olive Oil|Spinach Leaves (Palak)|Whole Eggs|Salt|Black pepper powder|Lemon juice|Ginger|Dijon Mustard|Sesame (Gingelly) Oil|Pumpkin seeds,Salad,non-veg,4.881523272,Continental,Eggetarian,293
Farfalle Pasta Recipe In a Creamy Mushroom Sauce,Button mushrooms|Garlic|Dried oregano|Salt|Cheese spread|Milk|Basil leaves,Italian,veg,4.937759336,Italian Recipes,Vegetarian,539
Mushroom filled Vol-au-Vent Recipe ,Button mushrooms|Garlic|Fresh cream|Fresh Thyme leaves|Red Chilli flakes|Lemon juice|Salt|Whole Black Peppercorns,Continental Party Appetizer & Starter,veg,4.86163522,French,Vegetarian,504
Garlic And Mushroom Soup Recipe,Button mushrooms|Garlic|Leek|Fresh Thyme leaves|Extra Virgin Olive Oil|Button mushrooms|Tomato|Onion|Salt and Pepper|Extra Virgin Olive Oil|Parsley leaves|Lemon wedges,Soup,veg,4.840125392,Continental,Vegetarian,443
Whole Wheat Ravioli with Paneer & Creamy Mushroom Oat Sauce Recipe,Button mushrooms|Garlic|Milk|Instant Oats (Oatmeal)|Red Chilli flakes|Basil leaves|Salt|Whole Wheat Flour|Salt|Sunflower Oil|Dried oregano|Salt,Italian,veg,4.925287356,Italian Recipes,Vegetarian,330
Tofu Mushroom Curry Recipe in Ginger Mustard Sauce,Button mushrooms|Ginger|Red Bell pepper (Capsicum)|Tofu|Corn flour|Dijon Mustard|Black pepper powder|Salt|Red Chilli flakes|Sesame seeds (Til seeds)|Honey|Sesame (Gingelly) Oil,Indian Chinese,veg,4.924778761,Asian,Vegetarian,273
Mushroom Tikka Masala Dry Recipe ,Button mushrooms|Green Bell Pepper (Capsicum)|Onion|Gram flour (besan)|Turmeric powder (Haldi)|Kashmiri Red Chilli Powder|Turmeric powder (Haldi)|Chaat Masala Powder|Lemon juice|Sunflower Oil|Salt|Kasuri Methi (Dried Fenugreek Leaves),Sabzi,veg,4.94426919,North Indian Recipes,High Protein Vegetarian,584
Pineapple Mushroom Tikka Recipe With Tandoori Masala,Button mushrooms|Green Bell Pepper (Capsicum)|Pineapple|Onion|Gram flour (besan)|Turmeric powder (Haldi)|Red Chilli powder|Tandoori masala|Kasuri Methi (Dried Fenugreek Leaves)|Lemon juice|Salt|Sunflower Oil,Indian Snack,veg,4.933541018,North Indian Recipes,Vegetarian,215
Vegetarian Potato Hash Recipe,Button mushrooms|Green Bell Pepper (Capsicum)|Sweet corn|Onion|Potatoes (Aloo)|Tomato Ketchup|Italian seasoning|Fresh Thyme leaves|Water|Salt and Pepper|Extra Virgin Olive Oil,,veg,4.836363636,Continental,Vegetarian,403
Kodava Kummu Curry Recipe- Coorg Style Mushroom Curry ,Button mushrooms|Green Chillies|Dry Red Chillies|Whole Black Peppercorns|Onion|Tomatoes|Curry leaves|Coriander (Dhania) Seeds|Turmeric powder (Haldi)|Salt|Oil|Fresh coconut|Cumin seeds (Jeera)|Garlic,Indian Curry,veg,4.921484888,Coorg,Vegetarian,537
 Coorg Style Mushroom Curry Recipe ,Button mushrooms|Green Chillies|Dry Red Chillies|Whole Black Peppercorns|Onion|Tomatoes|Curry leaves|Coriander (Dhania) Seeds|Turmeric powder (Haldi)|Salt|Sunflower Oil|Fresh coconut|Cumin seeds (Jeera)|Garlic,Indian Curry,veg,4.940594059,Coorg,Vegetarian,390
Pepper Mushroom Stir Fry Recipe,Button mushrooms|Green Chillies|Red Yellow or Green Bell Pepper (Capsicum)|Ginger|Black pepper powder|Turmeric powder (Haldi)|Salt|Whole Black Peppercorns|Coriander (Dhania) Leaves|Sunflower Oil,Poriyal Recipes,veg,4.831695332,South Indian Recipes,Vegetarian,484
Grilled Mushroom Sandwich Recipe With Herbs,Button mushrooms|Green Chillies|Salt and Pepper|Coriander (Dhania) Leaves|Extra Virgin Olive Oil,Sandwich,veg,4.846060114,Continental,Vegetarian,588
Matar Mushroom Curry Recipe,Button mushrooms|Green peas (Matar)|Onion|Tomato|Cumin seeds (Jeera)|Turmeric powder (Haldi)|Coriander Powder (Dhania)|Red Chilli powder|Kasuri Methi (Dried Fenugreek Leaves)|Tomato Ketchup|Fresh cream|Sunflower Oil|Coriander (Dhania) Leaves|Salt,Sabzi,veg,4.887578327,Indian,Vegetarian,322
Dhingri Matar Recipe (Mushrooms and Peas Spicy Curry),Button mushrooms|Green peas (Matar)|Soy Chunks (Nuggets)|Turmeric powder (Haldi)|Red Chilli powder|Garlic|Ginger|Poppy seeds|Cashew nuts|Oil|Salt|Coriander (Dhania) Leaves,Sabzi,veg,4.779275809,North Indian Recipes,Vegetarian,232
North Indian Style Mushroom Matar Masala Recipe,Button mushrooms|Green peas (Matar)|Sunflower Oil|Cumin seeds (Jeera)|Mustard seeds|Asafoetida (hing)|Onion|Onion|Tomato|Green Chilli|Red Chilli powder|Turmeric powder (Haldi)|Coriander Powder (Dhania)|Water|Coriander (Dhania) Leaves,Sabzi,veg,4.866666667,North Indian Recipes,High Protein Vegetarian,495
Methi Mushroom Masala Recipe ,Button mushrooms|Kashmiri Red Chilli Powder|Ginger|Sunflower Oil|Onion|Bay leaf (tej patta)|Turmeric powder (Haldi)|Red Chilli powder|Kalonji (Onion Nigella Seeds)|Kasuri Methi (Dried Fenugreek Leaves)|Lemon juice|Dry Red Chilli|Salt|Lukewarm Water,Sabzi,veg,4.888581952,North Indian Recipes,Vegetarian,323
Paleo Balsamic Mushrooms Recipe,Button mushrooms|Onion|Garlic|Balsamic Vinegar|Salt|Whole Black Peppercorns|Spring Onion Greens,Continental Party Appetizer & Starter,veg,4.930966469,Continental,Vegetarian,451
Goan Style Mushroom Vindaloo Recipe,Button mushrooms|Onion|Garlic|Ginger|Turmeric powder (Haldi)|Oil|Salt|Dry Red Chillies|Coriander (Dhania) Seeds|Cumin seeds (Jeera)|Whole Black Peppercorns|Cardamom (Elaichi) Pods/Seeds|Cloves (Laung),Indian Curry,veg,4.846254928,Goan Recipes,Vegetarian,389
Spicy Mushroom Veggie Burger Recipe,Button mushrooms|Onion|Garlic|Green Chilli|Red Chilli flakes|Sunflower Oil|Salt|Burger buns|Onion|Tomato|Iceberg lettuce,Italian,veg,4.945945946,Continental,Vegetarian,510
Italian Baked Pasta Recipe With Cheese & Bread Crumbs,Button mushrooms|Onion|Garlic|Tomatoes|Cherry tomatoes|Basil leaves|Parsley leaves|Green olives|Black olives|Mozzarella cheese|Parmesan cheese|Whole Wheat Bread crumbs|Whole Black Peppercorns|Extra Virgin Olive Oil|Salt,Italian,veg,4.90576324,Italian Recipes,Vegetarian,524
Chilli Cheese Mushroom Momo Recipe,Button mushrooms|Onion|Ginger|Green Chillies|Garlic|Black pepper powder|Cheese|Salt|Spring Onion (Bulb & Greens)|All Purpose Flour (Maida)|Water,Indian Chinese,veg,4.927784578,Indo Chinese,Vegetarian,429
Mushroom Curry Recipe,Button mushrooms|Onion|Green Bell Pepper (Capsicum)|Garlic|Ginger|Tomato|Turmeric powder (Haldi)|Red Chilli powder|Sunflower Oil|Mint Leaves (Pudina)|Salt,Sabzi,veg,4.852287582,North Indian Recipes,Vegetarian,543
Kongunadu Style Kalan kuzhambu Recipe - Mushroom Curry,Button mushrooms|Onion|Green Chilli|Curry leaves|Mustard seeds|Salt|Sunflower Oil|Coriander (Dhania) Seeds|Dry Red Chilli|Cinnamon Stick (Dalchini)|Cloves (Laung)|Cumin seeds (Jeera)|Fennel seeds (Saunf)|Whole Black Peppercorns|Onion|Garlic|Ginger|Fresh coconut,Indian Curry,veg,4.899021283,Kongunadu,Vegetarian,457
Mushroom Do Pyaza Recipe ,Button mushrooms|Onion|Onion|Tomato|Ginger|Garlic|Green Chilli|Red Chilli powder|Turmeric powder (Haldi)|Coriander Powder (Dhania)|Cumin powder (Jeera)|Salt|Sunflower Oil,Sabzi,veg,4.910259406,North Indian Recipes,Vegetarian,304
Tawa Mushroom Recipe ,Button mushrooms|Onion|Tomato|Ginger|Garlic|Green Chilli|Red Chilli powder|Turmeric powder (Haldi)|Coriander Powder (Dhania)|Cumin powder (Jeera)|Pav bhaji masala|Amchur (Dry Mango Powder)|Salt|Oil|Coriander (Dhania) Leaves,Sabzi,veg,4.885785744,North Indian Recipes,Vegetarian,309
Almond and Cashew Nut Mushroom Curry Recipe,Button mushrooms|Onions|Garlic|Ginger|Green Chillies|Sesame seeds (Til seeds)|Poppy seeds|Whole Almonds (Badam)|Cashew nuts|Black pepper powder|Oil|Coriander (Dhania) Leaves|Salt,Sabzi,veg,4.846298032,North Indian Recipes,High Protein Vegetarian,570
Mushroom Pasanda Recipe (Butter Fried Mushrooms in Tomato Almonds and Cream Gravy),Button mushrooms|Onions|Tomatoes|Badam (Almond)|Garlic|Ginger|Green Chillies|Cumin seeds (Jeera)|Cinnamon Stick (Dalchini)|Bay leaf (tej patta)|Whole Black Peppercorns|Turmeric powder (Haldi)|Coriander Powder (Dhania)|Kashmiri Red Chilli Powder|Kasuri Methi (Dried Fenugreek Leaves)|Sugar|Fresh cream|Saffron strands|Milk|Sunflower Oil|Salt|Water,Sabzi,veg,4.874306839,Mughlai,Vegetarian,214
Garlic And Pepper Mushroom Stir Fry Recipe,Button mushrooms|Pearl onions (Sambar Onions)|Garlic|Black pepper powder|Salt|Sunflower Oil|Coriander (Dhania) Leaves,Indian Snack,veg,4.841658662,Indian,Vegetarian,571
Mushroom Poha Cutlets Recipe,Button mushrooms|Poha (Flattened rice)|Green beans (French Beans)|Carrot (Gajjar)|Ginger|Green Chilli|Red Chilli powder|Chaat Masala Powder|Amchur (Dry Mango Powder)|Coriander (Dhania) Leaves|Whole Wheat Bread crumbs|Salt|Oil,Indian Snack,veg,4.876215738,Indian,High Protein Vegetarian,289
Stuffed Mushroom Recipe With Italian Sausage,Button mushrooms|Pork sausage|Extra Virgin Olive Oil|Black pepper powder|Salt|Britannia Cream Cheese|Dried oregano|Paprika powder|Parsley leaves|Cheese,Continental Party Appetizer & Starter,non-veg,4.940711462,Italian Recipes,Non Vegeterian,401
Odia Chatu Besara Recipe (Mushrooms in Spicy Mustard Curry),Button mushrooms|Potato (Aloo)|Oil|Tomatoes|Turmeric powder (Haldi)|Salt|Coriander (Dhania) Leaves|Mustard seeds (Rai/ Kadugu)|Cumin seeds (Jeera)|Coriander (Dhania) Seeds|Dry Red Chillies,Sabzi,veg,4.880648899,Oriya Recipes,Vegetarian,481
Mushroom Dumpling Recipe With Potatoes (Momos),Button mushrooms|Potato (Aloo)|Onion|Green Chilli|Ginger|Salt|Oil|All Purpose Flour (Maida),Indian Chinese,veg,4.930856553,Asian,High Protein Vegetarian,309
Stir Fried Mushrooms with Bell Peppers in Asian Sauce,Button mushrooms|Red Bell pepper (Capsicum)|Garlic|Ginger|Spring Onion (Bulb & Greens)|Salt and Pepper|Sesame (Gingelly) Oil,Indian Chinese,veg,4.899224806,Asian,High Protein Vegetarian,425
Roasted Vegetable Burger Recipe With Hummus,Button mushrooms|Red Bell pepper (Capsicum)|Green Bell Pepper (Capsicum)|Green zucchini|Lettuce leaves|Homemade Hummus|Burger buns|Extra Virgin Olive Oil|Salt,Italian,veg,4.916176471,Continental,High Protein Vegetarian,367
Paneer Stuffed Mushroom Masala Recipe ,Button mushrooms|Salt|Oil|Salt|Black pepper powder|Cumin powder (Jeera)|Onions|Mint Leaves (Pudina)|Whole Black Peppercorns|Dry Red Chillies|Cumin seeds (Jeera)|Coriander (Dhania) Seeds|Cardamom (Elaichi) Pods/Seeds|Cloves (Laung)|Cinnamon Stick (Dalchini)|Star anise|Oil|Milk|Garlic|Ginger|Water|Salt|Turmeric powder (Haldi)|Coriander (Dhania) Leaves,Sabzi,veg,4.915662651,North Indian Recipes,Vegetarian,467
Mushroom Manchurian Recipe | Mushroom Chilli Recipe | Indian Chinese,Button mushrooms|Sesame (Gingelly) Oil|Spring Onion (Bulb & Greens)|Garlic|Ginger|Green Chillies|Tomato Ketchup,Indian Chinese,veg,4.870517176,Indo Chinese,Vegetarian,473
"Mushroom, Paneer And Soya Chunk Samosa Recipe",Button mushrooms|Soy granules|Onion|Sunflower Oil|Green Chilli|Fennel seeds (Saunf)|Spring Roll Wrappers|Black pepper powder|Kashmiri Red Chilli Powder|Turmeric powder (Haldi)|Coriander Powder (Dhania)|Chaat Masala Powder|Salt|Sunflower Oil,Indian Snack,veg,4.921511628,North Indian Recipes,High Protein Vegetarian,217
Spinach Mushroom Chickpea Curry Recipe ,Button mushrooms|Spinach Leaves (Palak)|Kabuli Chana (White Chickpeas)|Sunflower Oil|Onions|Ginger|Garlic|Fresh Red chillies|Turmeric powder (Haldi)|Cumin powder (Jeera)|Salt|Coconut milk|Coriander (Dhania) Leaves|Mint Leaves (Pudina),Sabzi,veg,4.933754893,Indian,High Protein Vegetarian,359
Palak Mushroom Makhani Recipe - Creamy Spinach & Mushroom ,Button mushrooms|Spinach Leaves (Palak)|Tomato|Garlic|Ginger|Green Chillies|Cumin seeds (Jeera)|Cinnamon Stick (Dalchini)|Cumin powder (Jeera)|Turmeric powder (Haldi)|Fresh cream|Salt,Sabzi,veg,4.925004973,North Indian Recipes,High Protein Vegetarian,357
Cheesy Stuffed Mushrooms With Spinach Recipe,Button mushrooms|Spinach|Garlic|Britannia Cheese Spread - Asli Pepper|Britannia Cheezza|Extra Virgin Olive Oil,Continental Party Appetizer & Starter,veg,4.95437482,Continental,High Protein Vegetarian,466
Stuffed Mushrooms With Spinach & Parmesan Recipe,Button mushrooms|Spinach|Onion|Garlic|Extra Virgin Olive Oil|Whole Wheat Bread crumbs|Dried oregano|Red Bell pepper (Capsicum)|Parmesan cheese|Mozzarella cheese|Salt,Continental Party Appetizer & Starter,veg,4.97260274,Continental,Vegetarian,383
Paneer Bhutuwa Recipe -Nepalese Paneer Curry,Button mushrooms|Spinach|Onion|Tomatoes|Garlic|Ginger|Dry Red Chillies|Turmeric powder (Haldi)|Black pepper powder|Sunflower Oil|Salt,Sabzi,veg,4.894523327,Nepalese,High Protein Vegetarian,447
Cream Of Mushroom & Spring Onion Soup Recipe,Button mushrooms|Spring Onion (Bulb & Greens)|Corn flour|Milk|Salt and Pepper|Coriander (Dhania) Leaves,Soup,veg,4.748858447,Continental,High Protein Vegetarian,380
Vegetarian Laksa Curry Recipe,Button mushrooms|Spring Onion (Bulb & Greens)|Green beans (French Beans)|Carrots (Gajjar)|Red Yellow or Green Bell Pepper (Capsicum)|Baby corn|Tofu|Bean Sprouts|Coconut milk|Rice noodles|Oil|Coriander (Dhania) Leaves|Mint Leaves (Pudina)|Lemon wedges|Oil|Salt|Fresh Red chillies|Dry Red Chillies|Lemon Grass|Garlic|Galangal|Coriander Powder (Dhania)|Cumin powder (Jeera)|Fresh turmeric root|Pearl onions (Sambar Onions)|Cashew nuts,Indian Chinese,veg,4.90398293,Asian,Vegetarian,487
Spicy Goan Style Mushrooms Recipe,Button mushrooms|Sunflower Oil|Sooji (Semolina/ Rava)|Rice flour|Garlic|Turmeric powder (Haldi)|Red Chilli powder|Salt,Sabzi,veg,4.834333733,Goan Recipes,Vegetarian,350
Stuffed Omelette Recipe With Cheesy Garlic Mushroom & Corn,Button mushrooms|Sweet corn|Basil leaves|Nutralite Garlic & Oregano Spread|Nutralite Garlic & Oregano Spread|Whole Eggs|Salt and Pepper,Continental Breakfast,veg,4.962699822,Continental,High Protein Vegetarian,347
Mushroom Masala With Corn Recipe,Button mushrooms|Sweet corn|Onion|Dry Red Chillies|Ginger|Garlic|Green Chillies|Turmeric powder (Haldi)|Red Chilli powder|Cumin powder (Jeera)|Coriander Powder (Dhania)|Amchur (Dry Mango Powder)|Coriander (Dhania) Leaves|Corn flour|Sunflower Oil|Salt,Indian Snack,veg,4.867256637,Indian,High Protein Vegetarian,359
 Zhejiang  Style Crispy Five Spice Powder Spring Roll Recipe,Button mushrooms|Sweet corn|Spring Onion (Bulb & Greens)|Cloves (Laung)|Ginger|All Purpose Flour (Maida)|Salt,Continental Party Appetizer & Starter,veg,4.950877193,Chinese,Vegetarian,564
Sichuan Style Vegetarian Mapo Doufu ( Tofu In Spicy And Bean Sauce),Button mushrooms|Tofu|Bean Paste|Garlic|Ginger|Spring Onion (Bulb & Greens)|Vinegar|Sesame (Gingelly) Oil|Sichuan peppercorns|Corn flour|Salt|Black pepper powder,Indian Chinese,veg,4.821937322,Sichuan,Vegetarian,415
Chettinad Style Pepper Mushroom Recipe,Button mushrooms|Tomato|Green Chilli|Bay leaf (tej patta)|Fennel seeds (Saunf)|Curry leaves|Coriander (Dhania) Leaves|Sunflower Oil|Salt|Fresh coconut|Coriander (Dhania) Seeds|Whole Black Peppercorns|Cumin seeds (Jeera)|Poppy seeds|Fennel seeds (Saunf)|Cinnamon Stick (Dalchini)|Cardamom (Elaichi) Pods/Seeds|Cloves (Laung)|Star anise|Mace (Javitri)|Nutmeg powder|Dry Red Chilli|White Urad Dal (Split)|Shallots|Garlic|Ginger|Curry leaves|Turmeric powder (Haldi),Indian Curry,veg,4.853293413,Chettinad,Vegetarian,353
Mushroom Ghee Roast Recipe ,Button mushrooms|Turmeric powder (Haldi)|Lemon juice|Dry Red Chillies|Whole Black Peppercorns|Cloves (Laung)|Methi Seeds (Fenugreek Seeds)|Cumin seeds (Jeera)|Coriander (Dhania) Seeds|Garlic|Curry leaves|Jaggery|Salt,Poriyal Recipes,veg,4.894770544,Fusion,Vegetarian,558
Mushroom Thoran Recipe-Kerala Style Mushroom Sabzi,Button mushrooms|Turmeric powder (Haldi)|Oil|Salt|Fresh coconut|Shallots|Green Chillies|Curry leaves|Cumin seeds (Jeera)|Mustard seeds (Rai/ Kadugu)|Cumin seeds (Jeera)|Curry leaves|Dry Red Chillies,,veg,4.89246988,Kerala Recipes,Vegetarian,211
Walnut Mushroom Veg Bolognese Recipe With A Twist,Button mushrooms|Walnuts|Extra Virgin Olive Oil|Garlic|Onions|Tomato|Salt|Black pepper powder|Sugar|Habenaro sauce|Mixed Herbs (Dried)|Cumin powder (Jeera)|Apple cider vinegar,Continental Food,veg,4.984220907,Italian Recipes,Vegetarian,395
Goan Style Mushroom Shagoti Recipe ,Button mushrooms|Whole Black Peppercorns|Cloves (Laung)|Ajwain (Carom seeds)|Fennel seeds (Saunf)|Cumin seeds (Jeera)|Coriander (Dhania) Seeds|Cinnamon Stick (Dalchini)|Dry Red Chilli|Poppy seeds|Fresh coconut|Sunflower Oil|Onions|Garlic|Salt,Indian Curry,veg,4.939539861,Goan Recipes,Vegetarian,427
Mangalorean Style Bafat Pito Recipe-Bafat/Bafad Spice Mix Powder ,Byadagi Dried Chillies|Dry Red Chillies|Coriander (Dhania) Seeds|Whole Black Peppercorns|Cumin seeds (Jeera)|Turmeric powder (Haldi),Indian Chutney,,4.916076845,Mangalorean,,361
Pear and Apple Coleslaw Recipe,Cabbage (Patta Gobi/ Muttaikose)|Apple|Pears|Pineapple juice|Sugar|Coriander (Dhania) Leaves,Salad,veg,4.939117199,Continental,Vegetarian,395
